,state,year,value
0,Alabama,2010,4785448
1,Alaska,2010,713906
2,Arizona,2010,6407774
3,Arkansas,2010,2921978
4,California,2010,37320903
5,Colorado,2010,5048281
6,Connecticut,2010,3579125
7,Delaware,2010,899595
8,District of Columbia,2010,605085
9,Florida,2010,18845785
10,Georgia,2010,9711810
11,Guam,2010,159444
12,Hawaii,2010,1363963
13,Idaho,2010,1570773
14,Illinois,2010,12840762
15,Indiana,2010,6490436
16,Iowa,2010,3050767
17,Kansas,2010,2858213
18,Kentucky,2010,4348200
19,Louisiana,2010,4544532
20,Maine,2010,1327632
21,Maryland,2010,5788642
22,Massachusetts,2010,6566431
23,Michigan,2010,9877535
24,Minnesota,2010,5310843
25,Mississippi,2010,2970536
26,Missouri,2010,5995976
27,Montana,2010,990722
28,Nebraska,2010,1829536
29,Nevada,2010,2702464
30,New Hampshire,2010,1316777
31,New Jersey,2010,8799624
32,New Mexico,2010,2064588
33,New York,2010,19400080
34,North Carolina,2010,9574293
35,North Dakota,2010,674710
36,Ohio,2010,11539327
37,Oklahoma,2010,3759632
38,Oregon,2010,3837532
39,Pennsylvania,2010,12711158
40,Rhode Island,2010,1053938
41,South Carolina,2010,4635656
42,South Dakota,2010,816165
43,Tennessee,2010,6355301
44,Texas,2010,25242679
45,Utah,2010,2775334
46,Vermont,2010,625880
47,Virginia,2010,8023680
48,Washington,2010,6742902
49,West Virginia,2010,1854214
50,Wisconsin,2010,5690479
51,Wyoming,2010,564483
52,U.S. Virgin Islands,2010,109750
53,Puerto Rico,2010,3721525
54,Alabama,2011,4798834
55,Alaska,2011,722038
56,Arizona,2011,6473497
57,Arkansas,2011,2940407
58,California,2011,37641823
59,Colorado,2011,5121771
60,Connecticut,2011,3588023
61,Delaware,2011,907316
62,District of Columbia,2011,619602
63,Florida,2011,19093352
64,Georgia,2011,9801578
65,Guam,2011,159678
66,Hawaii,2011,1379252
67,Idaho,2011,1583828
68,Illinois,2011,12867291
69,Indiana,2011,6516045
70,Iowa,2011,3066054
71,Kansas,2011,2869035
72,Kentucky,2011,4369488
73,Louisiana,2011,4575184
74,Maine,2011,1328150
75,Maryland,2011,5838991
76,Massachusetts,2011,6613149
77,Michigan,2011,9881521
78,Minnesota,2011,5345668
79,Mississippi,2011,2978470
80,Missouri,2011,6009641
81,Montana,2011,997221
82,Nebraska,2011,1840538
83,Nevada,2011,2712799
84,New Hampshire,2011,1319815
85,New Jersey,2011,8827783
86,New Mexico,2011,2080395
87,New York,2011,19498514
88,North Carolina,2011,9656754
89,North Dakota,2011,685136
90,Ohio,2011,11543463
91,Oklahoma,2011,3787821
92,Oregon,2011,3871728
93,Pennsylvania,2011,12744583
94,Rhode Island,2011,1053536
95,South Carolina,2011,4671422
96,South Dakota,2011,823484
97,Tennessee,2011,6397410
98,Texas,2011,25646227
99,Utah,2011,2814216
100,Vermont,2011,626979
101,Virginia,2011,8100469
102,Washington,2011,6821655
103,West Virginia,2011,1856074
104,Wisconsin,2011,5704755
105,Wyoming,2011,567224
106,U.S. Virgin Islands,2011,108292
107,Puerto Rico,2011,3678732
108,Alabama,2012,4815564
109,Alaska,2012,730399
110,Arizona,2012,6556629
111,Arkansas,2012,2952109
112,California,2012,37960782
113,Colorado,2012,5193721
114,Connecticut,2012,3594395
115,Delaware,2012,915188
116,District of Columbia,2012,634725
117,Florida,2012,19326230
118,Georgia,2012,9901496
119,Guam,2012,159973
120,Hawaii,2012,1394905
121,Idaho,2012,1595441
122,Illinois,2012,12884119
123,Indiana,2012,6537640
124,Iowa,2012,3076097
125,Kansas,2012,2885361
126,Kentucky,2012,4386381
127,Louisiana,2012,4600814
128,Maine,2012,1327691
129,Maryland,2012,5887072
130,Massachusetts,2012,6663158
131,Michigan,2012,9896930
132,Minnesota,2012,5376550
133,Mississippi,2012,2983767
134,Missouri,2012,6024081
135,Montana,2012,1003754
136,Nebraska,2012,1853323
137,Nevada,2012,2744566
138,New Hampshire,2012,1323962
139,New Jersey,2012,8845483
140,New Mexico,2012,2087549
141,New York,2012,19574549
142,North Carolina,2012,9749123
143,North Dakota,2012,701116
144,Ohio,2012,11548369
145,Oklahoma,2012,3818600
146,Oregon,2012,3899118
147,Pennsylvania,2012,12766827
148,Rhode Island,2012,1054601
149,South Carolina,2012,4717112
150,South Dakota,2012,833496
151,Tennessee,2012,6451281
152,Texas,2012,26089620
153,Utah,2012,2853467
154,Vermont,2012,626063
155,Virginia,2012,8185229
156,Washington,2012,6892876
157,West Virginia,2012,1856764
158,Wisconsin,2012,5719855
159,Wyoming,2012,576270
160,U.S. Virgin Islands,2012,108191
161,Puerto Rico,2012,3634488
162,Alabama,2013,4830460
163,Alaska,2013,737045
164,Arizona,2013,6634999
165,Arkansas,2013,2959549
166,California,2013,38280824
167,Colorado,2013,5270482
168,Connecticut,2013,3594915
169,Delaware,2013,923638
170,District of Columbia,2013,650431
171,Florida,2013,19563166
172,Georgia,2013,9973326
173,Guam,2013,160375
174,Hawaii,2013,1408453
175,Idaho,2013,1611530
176,Illinois,2013,12898269
177,Indiana,2013,6568367
178,Iowa,2013,3093078
179,Kansas,2013,2893510
180,Kentucky,2013,4404817
181,Louisiana,2013,4624577
182,Maine,2013,1328196
183,Maryland,2013,5923704
184,Massachusetts,2013,6713944
185,Michigan,2013,9913349
186,Minnesota,2013,5413693
187,Mississippi,2013,2988797
188,Missouri,2013,6040658
189,Montana,2013,1013564
190,Nebraska,2013,1865414
191,Nevada,2013,2776972
192,New Hampshire,2013,1326408
193,New Jersey,2013,8858362
194,New Mexico,2013,2092792
195,New York,2013,19628043
196,North Carolina,2013,9843599
197,North Dakota,2013,721999
198,Ohio,2013,11576576
199,Oklahoma,2013,3853205
200,Oregon,2013,3922908
201,Pennsylvania,2013,12776621
202,Rhode Island,2013,1055122
203,South Carolina,2013,4764153
204,South Dakota,2013,842270
205,Tennessee,2013,6493432
206,Texas,2013,26489464
207,Utah,2013,2897927
208,Vermont,2013,626212
209,Virginia,2013,8253053
210,Washington,2013,6962906
211,West Virginia,2013,1853873
212,Wisconsin,2013,5736952
213,Wyoming,2013,582123
214,U.S. Virgin Islands,2013,108044
215,Puerto Rico,2013,3593077
216,Alabama,2014,4842481
217,Alaska,2014,736307
218,Arizona,2014,6733840
219,Arkansas,2014,2967726
220,California,2014,38625139
221,Colorado,2014,5351218
222,Connecticut,2014,3594783
223,Delaware,2014,932596
224,District of Columbia,2014,662513
225,Florida,2014,19860330
226,Georgia,2014,10069001
227,Guam,2014,160967
228,Hawaii,2014,1414862
229,Idaho,2014,1631479
230,Illinois,2014,12888962
231,Indiana,2014,6593533
232,Iowa,2014,3109504
233,Kansas,2014,2900896
234,Kentucky,2014,4414483
235,Louisiana,2014,4644204
236,Maine,2014,1330760
237,Maryland,2014,5958165
238,Massachusetts,2014,6763652
239,Michigan,2014,9930589
240,Minnesota,2014,5451522
241,Mississippi,2014,2990623
242,Missouri,2014,6056293
243,Montana,2014,1021891
244,Nebraska,2014,1879522
245,Nevada,2014,2819012
246,New Hampshire,2014,1333223
247,New Jersey,2014,8866780
248,New Mexico,2014,2090342
249,New York,2014,19656330
250,North Carolina,2014,9933944
251,North Dakota,2014,737382
252,Ohio,2014,11602973
253,Oklahoma,2014,3878367
254,Oregon,2014,3964106
255,Pennsylvania,2014,12789101
256,Rhode Island,2014,1056017
257,South Carolina,2014,4823793
258,South Dakota,2014,849088
259,Tennessee,2014,6540826
260,Texas,2014,26977142
261,Utah,2014,2937399
262,Vermont,2014,625218
263,Virginia,2014,8312076
264,Washington,2014,7052439
265,West Virginia,2014,1849467
266,Wisconsin,2014,5751974
267,Wyoming,2014,582548
268,U.S. Virgin Islands,2014,107884
269,Puerto Rico,2014,3534874
270,Alabama,2015,4853160
271,Alaska,2015,737547
272,Arizona,2015,6833596
273,Arkansas,2015,2978407
274,California,2015,38953142
275,Colorado,2015,5452107
276,Connecticut,2015,3587509
277,Delaware,2015,941413
278,District of Columbia,2015,675254
279,Florida,2015,20224249
280,Georgia,2015,10181111
281,Guam,2015,161797
282,Hawaii,2015,1422484
283,Idaho,2015,1651523
284,Illinois,2015,12864342
285,Indiana,2015,6608296
286,Iowa,2015,3121460
287,Kansas,2015,2909502
288,Kentucky,2015,4425999
289,Louisiana,2015,4664851
290,Maine,2015,1328484
291,Maryland,2015,5986717
292,Massachusetts,2015,6795891
293,Michigan,2015,9932573
294,Minnesota,2015,5482503
295,Mississippi,2015,2988693
296,Missouri,2015,6071745
297,Montana,2015,1030503
298,Nebraska,2015,1891507
299,Nevada,2015,2868666
300,New Hampshire,2015,1336294
301,New Jersey,2015,8870869
302,New Mexico,2015,2090211
303,New York,2015,19661411
304,North Carolina,2015,10033079
305,North Dakota,2015,754022
306,Ohio,2015,11617850
307,Oklahoma,2015,3909831
308,Oregon,2015,4016918
309,Pennsylvania,2015,12785759
310,Rhode Island,2015,1056173
311,South Carolina,2015,4892253
312,South Dakota,2015,853933
313,Tennessee,2015,6590808
314,Texas,2015,27486814
315,Utah,2015,2982497
316,Vermont,2015,625197
317,Virginia,2015,8362907
318,Washington,2015,7163543
319,West Virginia,2015,1841996
320,Wisconsin,2015,5761406
321,Wyoming,2015,585668
322,U.S. Virgin Islands,2015,107710
323,Puerto Rico,2015,3473166
324,Alabama,2016,4864745
325,Alaska,2016,741504
326,Arizona,2016,6945452
327,Arkansas,2016,2990410
328,California,2016,39209127
329,Colorado,2016,5540921
330,Connecticut,2016,3578674
331,Delaware,2016,949216
332,District of Columbia,2016,686575
333,Florida,2016,20629982
334,Georgia,2016,10304763
335,Guam,2016,162896
336,Hawaii,2016,1428105
337,Idaho,2016,1682930
338,Illinois,2016,12826895
339,Indiana,2016,6633344
340,Iowa,2016,3131785
341,Kansas,2016,2911263
342,Kentucky,2016,4438229
343,Louisiana,2016,4678215
344,Maine,2016,1331370
345,Maryland,2016,6004692
346,Massachusetts,2016,6826022
347,Michigan,2016,9951890
348,Minnesota,2016,5523409
349,Mississippi,2016,2988298
350,Missouri,2016,6087203
351,Montana,2016,1040863
352,Nebraska,2016,1905924
353,Nevada,2016,2919772
354,New Hampshire,2016,1342373
355,New Jersey,2016,8874516
356,New Mexico,2016,2092789
357,New York,2016,19641589
358,North Carolina,2016,10156679
359,North Dakota,2016,754353
360,Ohio,2016,11635003
361,Oklahoma,2016,3926769
362,Oregon,2016,4091404
363,Pennsylvania,2016,12783538
364,Rhode Island,2016,1057063
365,South Carolina,2016,4958235
366,South Dakota,2016,862890
367,Tennessee,2016,6645011
368,Texas,2016,27937492
369,Utah,2016,3042613
370,Vermont,2016,623644
371,Virginia,2016,8410946
372,Washington,2016,7294680
373,West Virginia,2016,1830929
374,Wisconsin,2016,5772958
375,Wyoming,2016,584290
376,U.S. Virgin Islands,2016,107510
377,Puerto Rico,2016,3406495
378,Alabama,2017,4875120
379,Alaska,2017,739786
380,Arizona,2017,7048876
381,Arkansas,2017,3002997
382,California,2017,39399349
383,Colorado,2017,5615902
384,Connecticut,2017,3573880
385,Delaware,2017,957078
386,District of Columbia,2017,695691
387,Florida,2017,20976812
388,Georgia,2017,10413055
389,Guam,2017,164229
390,Hawaii,2017,1424203
391,Idaho,2017,1718904
392,Illinois,2017,12786196
393,Indiana,2017,6660082
394,Iowa,2017,3143637
395,Kansas,2017,2910689
396,Kentucky,2017,4453874
397,Louisiana,2017,4670818
398,Maine,2017,1335063
399,Maryland,2017,6024891
400,Massachusetts,2017,6863246
401,Michigan,2017,9976447
402,Minnesota,2017,5568155
403,Mississippi,2017,2989663
404,Missouri,2017,6108612
405,Montana,2017,1053090
406,Nebraska,2017,1917575
407,Nevada,2017,2972405
408,New Hampshire,2017,1349767
409,New Jersey,2017,8888543
410,New Mexico,2017,2093395
411,New York,2017,19590719
412,North Carolina,2017,10270800
413,North Dakota,2017,755176
414,Ohio,2017,11664129
415,Oklahoma,2017,3932640
416,Oregon,2017,4146592
417,Pennsylvania,2017,12790447
418,Rhode Island,2017,1056486
419,South Carolina,2017,5021219
420,South Dakota,2017,873286
421,Tennessee,2017,6708794
422,Texas,2017,28322717
423,Utah,2017,3103118
424,Vermont,2017,624525
425,Virginia,2017,8465207
426,Washington,2017,7425432
427,West Virginia,2017,1817048
428,Wisconsin,2017,5792051
429,Wyoming,2017,578934
430,U.S. Virgin Islands,2017,107268
431,Puerto Rico,2017,3325001
432,Alabama,2018,4887871
433,Alaska,2018,737438
434,Arizona,2018,7171646
435,Arkansas,2018,3013825
436,California,2018,39557045
437,Colorado,2018,5695564
438,Connecticut,2018,3572665
439,Delaware,2018,967171
440,District of Columbia,2018,702455
441,Florida,2018,21299325
442,Georgia,2018,10519475
443,Guam,2018,165718
444,Hawaii,2018,1420491
445,Idaho,2018,1754208
446,Illinois,2018,12741080
447,Indiana,2018,6691878
448,Iowa,2018,3156145
449,Kansas,2018,2911505
450,Kentucky,2018,4468402
451,Louisiana,2018,4659978
452,Maine,2018,1338404
453,Maryland,2018,6042718
454,Massachusetts,2018,6902149
455,Michigan,2018,9995915
456,Minnesota,2018,5611179
457,Mississippi,2018,2986530
458,Missouri,2018,6126452
459,Montana,2018,1062305
460,Nebraska,2018,1929268
461,Nevada,2018,3034392
462,New Hampshire,2018,1356458
463,New Jersey,2018,8908520
464,New Mexico,2018,2095428
465,New York,2018,19542209
466,North Carolina,2018,10383620
467,North Dakota,2018,760077
468,Ohio,2018,11689442
469,Oklahoma,2018,3943079
470,Oregon,2018,4190713
471,Pennsylvania,2018,12807060
472,Rhode Island,2018,1057315
473,South Carolina,2018,5084127
474,South Dakota,2018,882235
475,Tennessee,2018,6770010
476,Texas,2018,28701845
477,Utah,2018,3161105
478,Vermont,2018,626299
479,Virginia,2018,8517685
480,Washington,2018,7535591
481,West Virginia,2018,1805832
482,Wisconsin,2018,5813568
483,Wyoming,2018,577737
484,U.S. Virgin Islands,2018,107282
485,Puerto Rico,2018,3195153
